activation	layers	learning_rate	Accuracy	Sensitivity	Specificity	F1-score	MCC	BA	Accuracy_bcv	Sensitivity_bcv	Specificity_bcv	F1-score_bcv	MCC_bcv	BA_bcv	Accuracy_blind	Sensitivity_blind	Specificity_blind	F1-score_blind	MCC_blind	BA_blind
relu	(25,25)	0.01	0.938	0.857	0.969	0.884	0.843	0.913	0.708	0.543	0.785	0.537	0.325	0.664	0.734	0.551	0.819	0.568	0.377	0.685
relu	(25,25)	0.001	0.928	0.77	0.988	0.853	0.816	0.879	0.703	0.51	0.792	0.521	0.306	0.651	0.721	0.51	0.819	0.538	0.339	0.665
relu	(25,25)	0.0001	0.911	0.72	0.983	0.814	0.773	0.852	0.696	0.494	0.79	0.508	0.289	0.642	0.708	0.49	0.81	0.516	0.309	0.65
relu	(50,50)	0.1	0.755	0.179	0.971	0.174	0.175	0.575	0.691	0.135	0.95	0.128	0.102	0.543	0.682	0.0	1.0	0.0	0.0	0.5
relu	(50,50)	0.01	0.926	0.825	0.965	0.859	0.813	0.895	0.718	0.551	0.796	0.554	0.349	0.674	0.701	0.633	0.733	0.574	0.351	0.683
relu	(50,50)	0.001	0.928	0.77	0.988	0.853	0.817	0.879	0.699	0.469	0.806	0.498	0.285	0.638	0.708	0.531	0.79	0.536	0.323	0.661
relu	(50,50)	0.0001	0.923	0.742	0.992	0.839	0.805	0.867	0.682	0.437	0.796	0.466	0.242	0.616	0.682	0.49	0.771	0.495	0.263	0.631
relu	(75,75)	0.1	0.753	0.144	0.984	0.151	0.123	0.564	0.674	0.102	0.941	0.096	0.033	0.521	0.76	0.755	0.762	0.667	0.491	0.759
relu	(75,75)	0.01	0.935	0.836	0.973	0.876	0.835	0.904	0.73	0.596	0.792	0.583	0.384	0.694	0.701	0.49	0.8	0.511	0.297	0.645
relu	(75,75)	0.001	0.926	0.775	0.983	0.852	0.811	0.879	0.745	0.584	0.821	0.593	0.408	0.702	0.76	0.612	0.829	0.619	0.443	0.72
relu	(75,75)	0.0001	0.914	0.731	0.983	0.823	0.78	0.857	0.748	0.527	0.851	0.57	0.397	0.689	0.76	0.571	0.848	0.602	0.432	0.71
